rainfall_mm,temperature_c,road_condition,traffic_level,slope_risk,historical_incidents,previous_landslides,flood_risk,bridge_condition,disruption_probability,is_disrupted
30.5,16.7,0,1,55.6,3,3,2,3,31.0,0
195.7,25.8,3,1,19.5,4,1,0,2,53.4,0
85.6,24.7,0,0,45.6,4,1,2,1,31.8,0
59.3,28.7,0,0,64.8,7,2,0,2,29.2,0
11.0,18.3,1,1,88.9,6,2,1,0,38.0,0
11.0,23.2,1,1,81.3,5,5,3,0,46.3,0
3.9,14.8,0,3,17.0,3,0,0,1,14.3,0
130.7,27.2,0,0,30.8,1,1,2,0,24.2,0
59.7,26.1,1,2,83.7,6,4,2,0,43.4,0
80.0,26.0,1,0,61.6,5,3,0,0,27.5,0
1.4,23.0,0,1,60.3,3,3,0,1,21.6,0
227.7,25.5,1,1,69.7,6,4,0,2,55.4,1
116.1,32.6,1,0,36.0,2,4,0,3,45.5,0
15.5,21.3,2,0,62.1,3,2,1,1,26.8,0
13.0,23.8,0,0,50.0,3,1,2,0,14.7,0
13.2,16.5,0,0,80.6,4,2,0,0,18.4,0
23.6,17.8,1,1,46.9,5,4,3,0,21.5,0
48.4,23.6,2,0,56.1,0,2,0,1,21.1,0
36.8,29.6,0,1,30.2,3,2,1,0,13.0,0
22.4,21.5,1,0,82.5,5,6,3,1,47.5,0
61.5,21.6,0,2,64.2,4,4,1,1,29.5,0
9.8,20.6,0,2,46.8,7,3,0,0,13.5,0
22.5,19.8,1,2,33.2,5,5,1,0,24.1,0
29.7,24.8,0,1,36.3,5,3,1,0,22.1,0
39.6,14.0,2,0,30.9,3,2,0,1,21.7,0
100.0,30.7,1,2,48.8,3,5,0,0,33.0,0
14.5,19.0,1,0,72.9,9,3,1,0,26.9,0
46.9,27.3,1,0,81.1,1,5,2,0,31.6,0
58.3,15.4,1,0,32.2,3,4,0,1,20.2,0
3.1,27.0,0,1,66.8,8,1,2,0,23.0,0
60.8,27.0,2,1,94.0,4,1,0,0,40.0,0
12.2,25.3,3,1,31.6,0,4,1,0,24.7,0
4.4,17.0,0,1,65.4,6,1,2,0,29.5,0
193.3,24.5,0,0,42.6,4,2,2,0,40.5,0
219.1,15.9,0,2,48.8,7,3,3,0,45.3,0
107.4,21.5,1,1,42.6,7,0,2,1,38.7,0
23.6,29.2,1,1,31.2,4,2,1,0,21.8,0
6.7,27.8,2,1,50.4,3,3,1,0,33.8,0
74.9,23.1,2,0,85.6,9,2,1,1,40.2,0
37.7,17.2,1,0,31.6,3,1,1,0,22.0,0
8.5,26.9,1,1,23.8,9,3,2,0,27.7,0
44.4,23.1,1,0,74.1,5,3,0,3,28.9,0
2.3,9.1,1,0,37.7,1,7,2,2,36.3,0
156.0,27.7,1,2,62.0,3,1,1,2,44.4,0
19.5,22.9,1,1,74.6,6,4,0,0,31.0,0
70.6,30.2,1,1,75.9,2,2,1,1,36.3,0
24.3,16.4,1,1,66.1,4,5,1,0,30.8,0
47.7,8.0,1,3,51.5,2,1,0,2,29.8,0
51.4,24.7,2,0,34.5,7,4,1,0,27.2,0
13.3,24.7,1,2,88.5,2,0,2,1,39.5,0
227.0,12.9,1,1,34.4,4,2,0,0,44.9,0
97.0,17.1,1,0,56.6,4,3,1,0,27.8,0
182.3,38.0,1,0,47.5,4,1,0,1,34.6,0
146.4,21.2,0,1,21.1,5,2,0,1,28.5,0
59.2,27.4,0,1,75.3,3,2,2,2,39.1,0
165.7,19.1,1,0,86.7,6,4,2,0,52.5,0
6.0,10.5,1,1,83.7,1,1,1,3,41.0,0
14.2,22.0,3,1,54.6,2,1,1,2,30.1,0
3.0,21.4,1,1,63.2,2,3,0,1,23.3,0
25.6,20.6,1,2,31.3,3,2,1,0,27.9,0
32.0,22.3,0,2,74.5,6,1,2,0,31.6,0
20.6,24.6,0,1,43.2,6,4,0,0,14.3,0
114.7,22.1,2,3,62.2,2,2,1,2,45.1,0
28.7,15.4,0,0,74.3,5,1,2,0,27.0,0
21.4,25.9,1,0,75.0,3,1,0,0,21.5,0
